"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Golden-Scale Aeronaut","W","C","54185","7.07","5551","10.45","11704","58.8%","1756","58.1%","2460","56.9%","4216","57.4%","7473","59.5%","-2.1pp"
"Guardian of Ghirapur","W","R","2416","1.78","1199","1.81","6731","61.1%","1187","62.9%","1456","62.0%","2643","62.4%","4078","60.0%","2.4pp"
"Heliod, the Radiant Dawn","W","R","3298","2.56","536","3.17","2055","55.2%","349","53.0%","437","53.1%","786","53.1%","1237","56.3%","-3.3pp"
"Infected Defector","W","C","55141","7.21","3958","11.45","3494","57.4%","526","58.6%","787","55.5%","1313","56.7%","2183","57.6%","-0.9pp"
"Inspired Charge","W","C","57715","8.60","5228","12.56","2362","59.1%","337","59.1%","503","56.3%","840","57.4%","1522","60.1%","-2.7pp"
"Invasion of Belenon","W","U","17457","4.02","1779","5.80","7334","58.3%","1280","58.8%","1534","53.7%","2814","56.0%","4498","59.8%","-3.8pp"
"Invasion of Dominaria","W","U","19055","4.31","1784","6.63","5751","57.9%","990","58.1%","1360","55.3%","2350","56.5%","3372","58.8%","-2.3pp"
"Invasion of Gobakhan","W","R","2538","1.98","963","2.09","5065","59.2%","888","65.2%","1087","56.9%","1975","60.6%","3061","58.2%","2.4pp"
"Invasion of Theros","W","R","6673","4.73","730","7.53","630","","103","","139","","242","56.6%","386","53.6%","3.0pp"
"Kithkin Billyrider","W","C","51893","6.53","4957","9.82","13561","58.8%","2280","56.4%","2823","54.7%","5103","55.5%","8433","60.8%","-5.4pp"
"Knight of the New Coalition","W","C","47693","5.62","7624","7.47","34400","61.2%","5701","61.7%","7514","59.7%","13215","60.6%","21121","61.6%","-1.0pp"
"Knight-Errant of Eos","W","R","2562","1.97","1081","2.02","5908","59.4%","997","60.6%","1309","60.3%","2306","60.4%","3597","58.7%","1.7pp"
"Kor Halberd","W","C","55326","7.53","5871","10.92","10562","59.2%","1745","60.3%","2166","56.5%","3911","58.2%","6649","59.8%","-1.6pp"
"Monastery Mentor","W","M","1015","1.51","618","1.47","3426","58.6%","610","62.3%","814","58.6%","1424","60.2%","1995","57.5%","2.7pp"
"Norn's Inquisitor","W","U","13142","2.59","5099","2.92","28794","62.4%","5312","67.8%","6346","63.5%","11658","65.5%","17025","60.2%","5.3pp"
"Phyrexian Awakening","W","U","19822","3.93","3343","5.23","15035","58.2%","2599","58.1%","3447","59.1%","6046","58.7%","8951","57.7%","1.0pp"
"Phyrexian Censor","W","U","24013","4.97","3527","6.90","11744","58.7%","1986","57.7%","2497","59.4%","4483","58.6%","7250","58.7%","-0.1pp"
"Progenitor Exarch","W","R","2180","1.66","1212","1.69","6838","59.5%","1222","59.7%","1585","60.9%","2807","60.3%","4003","58.7%","1.6pp"
"Realmbreaker's Grasp","W","C","32834","3.47","5144","4.77","28200","59.5%","4717","57.3%","6294","58.8%","11011","58.2%","17097","60.3%","-2.2pp"
"Scrollshift","W","C","56406","7.54","5812","11.11","7226","57.6%","1112","55.0%","1700","58.4%","2812","57.1%","4424","57.9%","-0.8pp"
"Seal from Existence","W","U","13264","2.62","2950","3.21","16324","59.6%","2690","57.0%","3667","60.1%","6357","58.8%","9947","60.0%","-1.2pp"
"Seraph of New Capenna","W","U","23697","4.93","1827","7.97","5261","55.2%","884","53.4%","1206","53.2%","2090","53.3%","3155","56.2%","-2.9pp"
"Sigiled Sentinel","W","C","43429","4.83","7089","6.42","37356","60.7%","6523","60.9%","7908","57.7%","14431","59.1%","22832","61.7%","-2.6pp"
"Sun-Blessed Guardian","W","U","22575","4.67","2619","6.90","10826","58.2%","1812","57.3%","2325","53.6%","4137","55.2%","6635","59.9%","-4.7pp"
"Sunder the Gateway","W","C","51965","6.25","6148","9.15","19009","59.0%","3244","57.5%","4193","58.0%","7437","57.8%","11555","59.7%","-1.9pp"
