"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Glorfindel, Dauntless Rescuer","G","U","43174","4.70","5050","6.79","13735","49.5%","2332","48.1%","3553","51.8%","5885","50.3%","7752","49.0%","1.3pp"
"Last March of the Ents","G","M","5723","3.64","780","5.07","1050","47.9%","145","","294","52.0%","439","47.6%","607","47.9%","-0.3pp"
"Legolas, Master Archer","G","R","6907","2.28","2060","2.35","9182","51.0%","1595","53.0%","2327","53.4%","3922","53.2%","5239","49.0%","4.3pp"
"Long List of the Ents","G","U","56949","6.86","6176","10.47","4195","48.5%","687","53.0%","995","44.9%","1682","48.2%","2511","48.8%","-0.6pp"
"Lothlórien Lookout","G","C","149368","6.57","15252","9.52","42988","50.5%","7817","52.6%","10365","50.2%","18182","51.2%","24618","50.0%","1.3pp"
"Many Partings","G","C","153311","6.68","17382","9.56","49860","52.8%","9020","54.6%","12183","54.4%","21203","54.5%","28575","51.5%","3.0pp"
"Meriadoc Brandybuck","G","U","39436","4.21","6234","5.63","25308","53.0%","4590","57.3%","6143","55.8%","10733","56.4%","14470","50.5%","5.9pp"
"Mirkwood Spider","G","C","150272","6.42","15022","9.49","45537","52.9%","8148","54.5%","10982","54.3%","19130","54.4%","26111","51.7%","2.6pp"
"Mirrormere Guardian","G","C","157179","6.93","16878","10.01","44270","53.4%","7711","53.9%","10930","55.6%","18641","54.9%","25437","52.2%","2.7pp"
"Mushroom Watchdogs","G","C","148940","6.45","16822","9.13","49348","52.2%","8834","53.3%","11766","52.5%","20600","52.8%","28556","51.5%","1.4pp"
"Peregrin Took","G","U","36851","3.96","5542","5.23","21371","51.7%","3753","51.6%","5295","53.3%","9048","52.6%","12223","50.9%","1.7pp"
"Pippin's Bravery","G","C","167761","8.29","17340","11.94","16419","51.9%","2563","50.8%","3963","53.9%","6526","52.7%","9857","51.3%","1.4pp"
"Quickbeam, Upstart Ent","G","U","36992","3.92","6531","5.03","27650","52.7%","4274","51.1%","6979","57.1%","11253","54.8%","16182","50.9%","3.9pp"
"Radagast the Brown","G","M","2811","1.81","1308","1.77","5733","56.5%","946","63.6%","1598","60.6%","2544","61.8%","3181","52.5%","9.3pp"
"Revive the Shire","G","C","167138","8.11","16692","11.89","15078","50.2%","2314","46.4%","3886","54.0%","6200","51.2%","8861","49.6%","1.6pp"
"The Ring Goes South","G","R","16990","5.11","1894","8.28","566","","96","","143","","239","36.8%","326","41.4%","-4.6pp"
"Shortcut to Mushrooms","G","U","48590","5.53","5036","8.28","9624","48.2%","1550","41.5%","2421","47.9%","3971","45.4%","5626","50.1%","-4.7pp"
"Shower of Arrows","G","C","167960","8.42","14598","12.62","5287","47.3%","755","44.2%","1261","49.6%","2016","47.6%","3239","47.1%","0.5pp"
"Stew the Coneys","G","U","36425","3.74","6288","4.82","29554","52.7%","4865","50.2%","7665","56.7%","12530","54.2%","16946","51.5%","2.7pp"
